StepId,RecipeId,StepNumber,StepText
83,20,6,"Ăn cùng cơm nóng, salad và sườn. Rắc khoai lang chiên lên decor ạ."
84,21,1,"Củ cải gọt vỏ, bào sợi, cho 1/2 thìa canh muối vào xóc đều để 10 phút cho củ cải mềm. Hành, mùi rửa sạch, cắt khúc."
85,21,2,Trứng đánh tan.
86,21,3,"Phi thơm hành củ, cho củ cải vào xào, nêm gia vị cho vừa miệng, để lửa trên trung bình, đảo trong khoảng 3 phút. Khi củ cải chín được 80% thì cho trứng, đảo khoảng 1-2 phút là trứng chín. Tắt bếp, cho hành, mùi rồi rắc tiêu, ăn nóng."
87,22,1,Thịt ba chỉ (cách làm thịt ba chỉ chay)
88,22,2,Khi làm trứng cút mình đã làm thêm 2 trứng vịt (trứng cút kho tiêu)
89,22,3,"Bắc chảo lên cho tỏi củ hành phi thơm cho thịt và trứng vào chiên sơ rồi lấy ra.cho vào 1 chén nước,nước mắm,nước màu,đường nấu sôi nêm lại vừa ăn cho thịt và trứng vào rim."
90,22,4,Thịt mềm thì tắt bếp cho ra dĩa
91,23,1,"Ướp bò với 1mc dầu hào, 1/2 mcf hạt nêm. Sơ chế nguyên liệu khác."
92,23,2,"Phi thơm tỏi, xào săn bò, cho táo, hành tây vào đảo xào vài lần. Cho xì dầu, hắc xì dầu, 1/2 mcf muối, xíu bột ngọt. Thêm khoảng 1 lít nước. Nấu sôi. Rồi cho qua nồi chậm nấu trong 3h để thịt bò mềm và nước lèo ngọt thơm."
93,23,3,"Khi ăn thì cho nước lèo và thịt qua nồi inox, nấu sôi lại. Vớt xác hành tây và táo bỏ đi."
94,23,4,Trụng hủ tiếu. Chan nước lèo. Măm thôi.
95,24,1,Mình dùng 100g bóng cá chay Thanh Dũng
96,24,2,"Ngâm bóng cá chay với nước cho nở, rửa sạch nhiều lần với nước, sau đó vắt thật khô"
97,24,3,"Cho bóng cá chay vào chảo chiên giòn, sau đó vớt ra giấy thấm dầu"
98,24,4,"Pha nước mắm: 3 muỗng nước mắm chay, 1 muỗng canh đường, nước lọc, chanh, ớt. Nêm nếm cho vừa khẩu vị, sau đó cho vào chảo."
99,24,5,Chờ khi sốt sệt lại thì cho bóng cá chay vào trộn đều. Sau cùng cho thêm mè rang.
100,24,6,Cho bóng cá chay ra dĩa và trang trí cho đẹp mắt
101,25,1,"Cá cơm ngâm với gừng đập dập, nước và giấm 10 phút để khử mùi, trong lúc đó thì mình nhặt rau dền, rửa sạch để ráo. Cá cơm hết tanh thì rửa lại và cho vào nồi với 1,5l nước"
