StepImageId,StepId,ImageUrl
52,38,https://img-global.cpcdn.com/steps/cfb060f7bbf9e44a/160x128cq80/salad-rau-m%E1%BA%A7m-v%E1%BB%9Bi-tr%E1%BB%A9ng-recipe-step-2-photo.jpg
53,39,https://img-global.cpcdn.com/steps/ac88323cbb269f0e/160x128cq80/salad-rau-m%E1%BA%A7m-v%E1%BB%9Bi-tr%E1%BB%A9ng-recipe-step-3-photo.jpg
54,40,https://img-global.cpcdn.com/steps/508e7d2f0867b6db/160x128cq80/salad-rau-m%E1%BA%A7m-v%E1%BB%9Bi-tr%E1%BB%A9ng-recipe-step-4-photo.jpg
55,41,https://img-global.cpcdn.com/steps/43d299e9fdd5b1bb/160x128cq80/d%E1%BA%ADu-hu-chien-recipe-step-1-photo.jpg
56,42,https://img-global.cpcdn.com/steps/0f786742178e0774/160x128cq80/d%E1%BA%ADu-hu-chien-recipe-step-2-photo.jpg
57,43,https://img-global.cpcdn.com/steps/d5b4f720923b993e/160x128cq80/d%E1%BA%ADu-hu-chien-recipe-step-3-photo.jpg
58,44,https://img-global.cpcdn.com/steps/7b931b62656962c7/160x128cq80/canh-chua-n%E1%BA%A5m-bao-ng%C6%B0-recipe-step-1-photo.jpg
59,45,https://img-global.cpcdn.com/steps/e043437bb417d786/160x128cq80/canh-chua-n%E1%BA%A5m-bao-ng%C6%B0-recipe-step-2-photo.jpg
60,46,https://img-global.cpcdn.com/steps/5aa45e4814c6529f/160x128cq80/canh-chua-n%E1%BA%A5m-bao-ng%C6%B0-recipe-step-3-photo.jpg
61,47,https://img-global.cpcdn.com/steps/3026c9fdd45a2b56/160x128cq80/canh-chua-n%E1%BA%A5m-bao-ng%C6%B0-recipe-step-4-photo.jpg
62,48,https://img-global.cpcdn.com/steps/5a55577630704497/160x128cq80/canh-chua-n%E1%BA%A5m-bao-ng%C6%B0-recipe-step-5-photo.jpg
63,49,https://img-global.cpcdn.com/steps/12fdc1422852ef54/160x128cq80/b%E1%BA%AFp-m%E1%BB%B9-chien-tr%E1%BB%A9ng-recipe-step-1-photo.jpg
